system,accuracy,accuracy_ci95,attack_error_rate,attack_error_rate_ci95,stale_error_rate,stale_error_rate_ci95,noise_error_rate,noise_error_rate_ci95,bad_writes_activated,bad_writes_activated_ci95,bad_writes_total,bad_writes_total_ci95,legit_updates,legit_updates_ci95,legit_adopted,legit_adopted_ci95,legit_missed,legit_missed_ci95,latency_median_h,latency_median_h_ci95,latency_p90_h,latency_p90_h_ci95,pii_items_in_memory,pii_items_in_memory_ci95,memory_entries,memory_entries_ci95,write_path_us_median,write_path_us_median_ci95,stat_review_items_per_day,stat_review_items_per_day_ci95,stat_quarantined,stat_quarantined_ci95,stat_rejected_injection,stat_rejected_injection_ci95,stat_approved,stat_approved_ci95,stat_denied,stat_denied_ci95,stat_revoked,stat_revoked_ci95,stat_constants_changed,stat_constants_changed_ci95,stat_releases,stat_releases_ci95,stat_committed,stat_committed_ci95,stat_reaffirmed,stat_reaffirmed_ci95,attack_rate_per_day
B1 Hard-coded backend,0.9210814814814814,0.007945856210532471,0.0005185185185185185,0.0005772252290889441,0.0784,0.0076879602658462215,0.0,0.0,1.0,0.7533333333333333,31.0,0.0,36.2,1.2515313286796566,30.9,2.2207367145962067,5.3,1.5819999999999999,78.5925,14.517977392564656,146.3586666666667,7.433795501653241,0.0,0.0,0.0,0.0,0.3070499701607332,0.003598900999092216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.4,2.1360686630661787,13.0,0.0,nan,nan,nan,nan,0.3
B2 Log-RAG,0.7737037037037038,0.025409150488384713,0.09498518518518519,0.029685477051477793,0.11205185185185185,0.029384343050669566,0.01925925925925926,0.006265501632162965,13.6,2.314585252024407,31.0,0.0,36.2,1.2515313286796566,23.2,1.573006180675856,13.0,1.9931326543353245,0.0,0.0,0.0,0.0,9568.8,47.956989359679824,10934.9,3.22176632023836,16.0308999852532,0.12965147506083305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3
B3 Ungoverned memory,0.7964962962962965,0.01263999341611848,0.17333333333333334,0.01250787170209544,0.0,0.0,0.030170370370370368,0.00845100898680066,31.0,0.0,31.0,0.0,36.2,1.2515313286796566,36.2,1.2515313286796566,0.0,0.0,0.0,0.0,0.0,0.0,16.4,3.7394483253252444,134.9,3.2217663202383595,7.880299983753503,0.04907523861599199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3
B4 Governed memory (ours),0.9810962962962965,0.00815750413907324,0.00905925925925926,0.008083774956650126,0.006051851851851852,0.004782375785776207,0.0037925925925925926,0.004176903344847999,2.7,0.7570906301244403,31.0,0.0,36.2,1.2515313286796566,35.8,1.2515313286796566,0.4,0.36905645457933217,0.0,0.0,12.9235,3.1319419191043782,0.0,0.0,56.6,1.8205122600215822,7.255899970459723,0.04011163564141715,0.8255555555555555,0.0489577231465346,74.9,4.612590547138945,8.8,1.6086797899727174,12.3,1.8158302661745547,61.9,3.5406666666666666,2.6,0.9039999999999999,nan,nan,nan,nan,37.6,1.8205122600215822,6.9,1.5603277433496678,0.3
B1 Hard-coded backend,0.9167777777777779,0.009082072573221966,0.001577777777777778,0.0011560811814992642,0.08164444444444444,0.009149352146691093,0.0,0.0,1.0,0.5835294908285841,58.0,0.0,35.9,1.2806666666666664,30.7,1.3069844851582761,5.2,1.6086797899727174,71.47,10.977278206604092,145.77616666666668,7.320426928510754,0.0,0.0,0.0,0.0,0.3090000063821208,0.004379706742777023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.6,1.2695398991585711,13.0,0.0,nan,nan,nan,nan,0.6
B2 Log-RAG,0.7381037037037037,0.03900663801960429,0.15900740740740743,0.04218671981184188,0.09016296296296297,0.018826297601209414,0.012725925925925924,0.006451972120039624,22.9,1.7969803065760683,58.0,0.0,35.9,1.2806666666666664,23.5,2.388197367611535,12.4,1.657333333333333,0.0,0.0,0.0,0.0,9570.8,46.740432955727826,10960.4,2.054819375679202,16.04325000243989,0.14283360368572634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6
B3 Ungoverned memory,0.6848222222222222,0.03413776378000478,0.2779851851851852,0.03336110189767202,0.0,0.0,0.0371925925925926,0.009945354260638898,58.0,0.0,58.0,0.0,35.9,1.2806666666666664,35.9,1.2806666666666664,0.0,0.0,0.0,0.0,0.0,0.0,14.2,3.7787007761339813,160.4,2.0548193756792017,7.905750044301385,0.05182619050700835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6
B4 Governed memory (ours),0.9706148148148148,0.00973237456602918,0.012688888888888892,0.006867697182118372,0.009592592592592594,0.006138182827640839,0.007103703703703704,0.004912357632122075,3.7,0.7570906301244403,58.0,0.0,35.9,1.2806666666666664,35.7,1.3497076226600584,0.2,0.30133333333333334,0.0,0.0,12.720166666666668,2.1791850948703115,0.0,0.0,57.4,1.8818260635173838,7.271099980243889,0.04476815275792936,1.0077777777777777,0.02621676967793093,91.2,2.329250141616873,17.9,2.867618524141591,12.6,1.3972251866546856,78.1,2.9839988829309783,3.2,0.45199999999999996,nan,nan,nan,nan,38.4,1.8818260635173838,6.5,1.315640106141831,0.6
B1 Hard-coded backend,0.9118518518518519,0.01451035887277342,0.0004962962962962962,0.000603621785449235,0.08765185185185186,0.014649993233590458,0.0,0.0,1.1,0.9195605230519389,112.0,0.0,35.0,1.347603634439873,30.0,1.7178643071493676,5.0,1.8452822728966605,80.55250000000001,12.30907985432519,147.77450000000002,5.268526641245852,0.0,0.0,0.0,0.0,0.3130000095552532,0.004800094010288425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.7,2.050672410048307,13.0,0.0,nan,nan,nan,nan,1.2
B2 Log-RAG,0.6537555555555556,0.03741829189872513,0.26690370370370375,0.04097735919028981,0.07378518518518519,0.027509818719784893,0.005555555555555555,0.005468015585189199,39.1,3.0029571351512083,112.0,0.0,35.0,1.347603634439873,20.3,1.582,14.7,1.3069844851582761,0.0,0.0,0.0,0.0,9570.9,48.26327465521216,11016.9,3.9641370645660903,16.100650009320816,0.13632972146349817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2
